[2020-08-27T08:33:21.398] [DEBUG] default - mobile price  = 85000
[2020-08-27T08:33:21.412] [DEBUG] default - mobile price  = 185000
[2020-08-27T08:33:21.430] [DEBUG] default - mobile price  = 235000
[2020-08-27T08:33:37.259] [DEBUG] default - calculation result  = 12
[2020-08-27T08:33:37.285] [DEBUG] default - calculation result  = 4
[2020-08-27T08:33:37.311] [DEBUG] default - calculation result  = 2
[2020-08-27T08:33:37.337] [DEBUG] default - calculation result  = 6
[2020-08-27T08:33:46.515] [DEBUG] default - calculation result  = 12
[2020-08-27T08:33:46.543] [DEBUG] default - calculation result  = 4
[2020-08-27T08:33:46.568] [DEBUG] default - calculation result  = 2
[2020-08-27T08:33:46.593] [DEBUG] default - calculation result  = 18
[2020-08-27T10:10:59.130] [DEBUG] default - calculation result  = 12
[2020-08-27T10:10:59.174] [DEBUG] default - calculation result  = 4
[2020-08-27T10:10:59.217] [DEBUG] default - calculation result  = 2
[2020-08-27T10:10:59.259] [DEBUG] default - calculation result  = 6
[2020-08-27T10:11:09.066] [DEBUG] default - calculation result  = 12
[2020-08-27T10:11:09.100] [DEBUG] default - calculation result  = 4
[2020-08-27T10:11:09.138] [DEBUG] default - calculation result  = 2
[2020-08-27T10:11:09.168] [DEBUG] default - calculation result  = 18
[2020-08-27T10:11:59.265] [DEBUG] default - calculation result  = 12
[2020-08-27T10:11:59.309] [DEBUG] default - calculation result  = 4
[2020-08-27T10:11:59.343] [DEBUG] default - calculation result  = 2
[2020-08-27T10:11:59.378] [DEBUG] default - calculation result  = 6
[2020-08-27T10:12:08.893] [DEBUG] default - calculation result  = 12
[2020-08-27T10:12:08.933] [DEBUG] default - calculation result  = 4
[2020-08-27T10:12:08.977] [DEBUG] default - calculation result  = 2
[2020-08-27T10:12:09.015] [DEBUG] default - calculation result  = 18
